status_name,carrier_name,status_type,substatus_type
THE CUSTOMER REQUESTED UPS CONTACT THEM FOR INSTRUCTION BEFORE SUBMITTING FOR CUSTOMS CLEARANCE.,UPS,Transit,Customs/Tax Delays
THE CUSTOMER REQUESTED UPS CONTACT THEM FOR INSTRUCTION BEFORE SUBMITTING FOR CUSTOMS CLEARANCE. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE CUSTOMER REQUESTED UPS CONTACT THEM FOR INSTRUCTION BEFORE SUBMITTING FOR CUSTOMS CLEARANCE. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Customs/Tax Delays
THE DELIVERY ADDRESS IS INCOMPLETE. WE ARE WORKING TO CORRECT THIS ISSUE AND YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE DELIVERY ADDRESS IS INCOMPLETE. WE WERE UNABLE TO RESOLVE THE ISSUE AND THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE DELIVERY ADDRESS IS INCOMPLETE. YOUR PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE DELIVERY ADDRESS IS INCORRECT. WE WERE UNABLE TO RESOLVE THE ISSUE AND THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
"THE DELIVERY ADDRESS PROVIDED IS INCORRECT. WE ARE ATTEMPTING TO UPDATE THE ADDRESS, YOUR DELIVERY WILL BE RESCHEDULED.",UPS,Exception,Incorrect Info
THE DELIVERY ADDRESS WAS INCOMPLETE. WE WERE UNABLE TO RESOLVE THE ISSUE AND THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
"THE DELIVERY ADDRESS WAS INCORRECT, BUT THE ISSUE HAS BEEN RESOLVED. YOUR DELIVERY HAS BEEN RESCHEDULED.",UPS,Transit,Incorrect Info
THE DELIVERY CHANGE WAS COMPLETED. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Carrier Delays
THE DELIVERY LOCATION IS VACANT.,UPS,Exception,Incorrect Info
THE DELIVERY LOCATION IS VACANT. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE DELIVERY LOCATION IS VACANT. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
