status_name,carrier_name,status_type,substatus_type
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE FINAL DELIVERY ATTEMPT.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVER WAS NOT AVAILABLE AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / THE RETURN LABEL WAS DISCARDED.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE FOR DELIVERY. WE'LL MAKE A SECOND ATTEMPT THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE RECEIVER WAS NOT AVAILABLE FOR DELIVERY. WE'LL MAKE A SECOND ATTEMPT THE NEXT BUSINESS DAY. / THE PACKAGE IS BEING RETURNED TO THE SENDER AT A DIFFERENT SERVICE LEVEL.,UPS,Exception,Loss/Returns
THE RECEIVER WAS NOT AVAILABLE FOR DELIVERY. WE'LL MAKE A SECOND ATTEMPT THE NEXT BUSINESS DAY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE RECEIVER WAS NOT AVAILABLE FOR DELIVERY. WE'LL MAKE A SECOND ATTEMPT THE NEXT BUSINESS DAY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Other Delays
THE RECEIVER WAS NOT AVAILABLE FOR DELIVERY. WE'LL MAKE A SECOND ATTEMPT THE NEXT BUSINESS DAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Other Delays
THE RECEIVER WILL ONLY ACCEPT DELIVERY DURING CERTAIN HOURS. WE'RE ADJUSTING DELIVERY PLANS AS QUICKLY AS POSSIBLE. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THE RECEIVING BUSINESS WAS CLOSED AND DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED. A SECOND ATTEMPT WILL BE MADE ON THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / WE'VE CONTACTED THE SENDER.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED AT THE TIME OF THE FINAL DELIVERY ATTEMPT. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED. WE'LL ATTEMPT TO DELIVER THE PACKAGE THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE RECEIVING BUSINESS WAS CLOSED. WE'LL ATTEMPT TO DELIVER THE PACKAGE THE NEXT BUSINESS DAY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THERE IS A DELIVERY CHANGE IN PROGRESS TO DELIVER THE PACKAGE TO THE ORIGINAL RECEIVER'S ADDRESS.,UPS,Exception,Incorrect Info
THE REQUESTED SERVICE HAS CHANGED; FOR ASSISTANCE PLEASE CONTACT DHL,DHL,Exception,Other Delays
THERE'S BEEN A DELAY BUT WE'RE WORKING HARD TO DELIVER ON TIME,TNT,Exception,Carrier Delays
THERE'S BEEN A DELAY BUT WE'RE WORKING HARD TO DELIVER ON TIME.,TNT,Exception,Carrier Delays
THE SENDER REQUESTED A MODIFIED INTERCEPT FOR THIS PACKAGE.,UPS,Exception,Other Delays
THE SENDER REQUESTED A MODIFIED INTERCEPT FOR THIS PACKAGE. / PACKAGE COULD NOT BE LOCATED FOR INTERCEPT.,UPS,Exception,Other Delays
THE SENDER REQUESTED A MODIFIED INTERCEPT FOR THIS PACKAGE. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Other Delays
THE SENDER REQUESTED A MODIFIED INTERCEPT FOR THIS PACKAGE. / YOUR PACKAGE WILL BE DELIVERED TO AN ALTERNATE ADDRESS.,UPS,Exception,Other Delays
THE SENDER REQUESTED THAT WE HOLD THIS PACKAGE.,UPS,Exception,Other Delays
THE SENDER REQUESTED THIS PACKAGE BE HELD FOR PICKUP AT A UPS FACILITY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THE SERVICE SELECTED IS NOT AVAILABLE TO THIS DESTINATION ADDRESS. THIS HAS DELAYED DELIVERY.,UPS,Exception,Other Delays
THE STATE SHOWN IN THE ADDRESS IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE STATE SHOWN IN THE ADDRESS IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE STREET NAME IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE STREET NAME IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE STREET NAME IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE STREET NAME IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
THE STREET NAME IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE STREET NAME IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.,UPS,Exception,Loss/Returns
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'VE LEFT A MESSAGE FOR THE RECEIVER TO CONTACT US.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
THE STREET NUMBER IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THE STREET PREFIX IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE STREET SUFFIX IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE STREET TYPE SHOWN IN THE ADDRESS IS INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE IS BEING RETURNED TO THE SENDER AT A DIFFERENT SERVICE LEVEL.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'RE UNABLE TO CONTACT THE RECEIVER.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / WE WILL CONTACT THE SENDER.,UPS,Exception,Incorrect Info
THE SUITE NUMBER IS EITHER MISSING OR INCORRECT. THIS MAY DELAY DELIVERY. WE'RE ATTEMPTING TO UPDATE THE ADDRESS. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Incorrect Info
THEY HAVE NOT DONE TAXES YET SO WILL BE DELIVER TUESDAY,Team Air,Exception,Customs/Tax Delays
THIS DELIVERY ADDRESS IS IN A REMOTE AREA WHERE DELIVERIES ARE NOT MADE DAILY.,UPS,Exception,Other Delays
THIS DELIVERY ADDRESS IS IN A REMOTE AREA WHERE DELIVERIES ARE NOT MADE DAILY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Other Delays
THIS DELIVERY ADDRESS IS IN A REMOTE AREA WHERE DELIVERIES ARE NOT MADE DAILY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE.,UPS,Exception,Other Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Other Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / SCHEDULED FOR DELIVERY TODAY.,UPS,Exception,Other Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Exception,Carrier Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Other Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / WE'VE LEFT A MESSAGE FOR THE RECEIVER TO CONTACT US.,UPS,Exception,Carrier Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / WE'VE RESCHEDULED THIS DELIVERY.,UPS,Exception,Carrier Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / WE WILL CONTACT THE SENDER.,UPS,Exception,Other Delays
THIS PACKAGE IS BEING HELD FOR A FUTURE DELIVERY DATE. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Other Delays
THIS PACKAGE WAS ABANDONED BY BOTH THE SENDER AND RECEIVER.,UPS,Exception,Loss/Returns
THIS RETURNED PACKAGE REQUIRES AN EXPORT INVOICE FOR DUTY RELIEF.,UPS,Exception,Customs/Tax Delays
TIME CONSTRAINT PREVENTED DELIVERY. DELIVERY AT FIRST OPPORTUNITY,TNT,Exception,Carrier Delays
TRAFFIC JAM PREVENTED DELIVERY. RECOVERY ACTIONS UNDERWAY,TNT,Exception,Other Delays
TRAILER 139191 IS LOADING AT MAYBROOK NY USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 139191 WAS CLOSED AT MAYBROOK NY USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 291006 IS ENROUTE TO HARRISBURG PA USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 291006 IS ENROUTE TO MAYBROOK NY USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 291006 IS ENROUTE TO MEMPHIS TN USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 291006 IS ENROUTE TO NASHVILLE TN USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 291006 IS ENROUTE TO STAUNTON VA USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 291006 WAS CLOSED AT DALLAS TX USA THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRAILER 311630 IS OUT FOR DELIVERY TO WALLINGFORD CT THE SHIPMENT WAS DELAYED DUE TO INCLEMENT WEATHER.,YRC Logistics,Exception,Natural Causes
TRANSFERRED TO BEYOND CARRIER,Team Air,Transit,Documents Handover
UNABLE TO DELIVER,UPS,Exception,Other Delays
UNABLE TO SCHED. DEL. CNTCTING SHPR FOR INSTR.,Team Air,Exception,Other Delays
UNCONTROLLABLE DELAY AT CUSTOMS,DHL,Exception,Customs/Tax Delays
UNCONTROLLABLE EVENTS HAVE DELAYED DELIVERY. WE ARE ADJUSTING DELIVERY PLANS AS QUICKLY AS POSSIBLE. PLEASE CHECK BACK ON THE NEXT BUSINESS DAY FOR UPDATES.,UPS,Exception,Natural Causes
UNDELIVERED - RECONSIGNED,Estes Express,Exception,Delayed
UPS ACCESS POINT LOCATION CLOSED AND PACKAGE NOT DELIVERED. ANOTHER ATTEMPT WILL BE MADE TO UPS ACCESS POINT LOCATION.,UPS,Exception,Carrier Delays
UPS CANNOT DELIVER TO P.O. BOXES. WE'LL DELIVER THE PACKAGE TO THE UPDATED ADDRESS.,UPS,Exception,Incorrect Info
UPS CANNOT DELIVER TO P.O. BOXES. WE'LL RETURN THE PACKAGE TO THE SENDER.,UPS,Exception,Incorrect Info
UPS DELAYED THE PACKAGE DURING THE AVIATION SECURITY SCREENING.,UPS,Exception,Carrier Delays
UPS DELAYED THE PACKAGE DURING THE AVIATION SECURITY SCREENING. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
UPS DELAYED THE PACKAGE DURING THE AVIATION SECURITY SCREENING. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Carrier Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / DOCUMENTS OR INFO REQUESTED FROM THE CUSTOMER WERE RECEIVED AND ARE BEING PROCESSED FOR CLEARANCE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE WILL BE FORWARDED TO A UPS FACILITY IN THE DESTINATION CITY.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE WILL BE RETURNED TO THE SENDER.",UPS,Exception,Loss/Returns
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THIS PACKAGE WAS ABANDONED BY BOTH THE SENDER AND RECEIVER.",UPS,Exception,Loss/Returns
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'RE UNABLE TO CONTACT THE RECEIVER.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE SENT THE PACKAGE TO UPS LOST AND FOUND.",UPS,Exception,Loss/Returns
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'VE CONTACTED THE RECEIVER.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'VE CONTACTED THE RECEIVER TO REQUEST ADDITIONAL INFORMATION.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'VE LEFT A MESSAGE FOR THE RECEIVER TO CONTACT US.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'VE REQUESTED THAT THE RECEIVER CONTACT US.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE WILL CONTACT THE SENDER.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / YOUR DELIVERY WILL BE RESCHEDULED.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH RECEIVER OR IMPORTER FOR CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / YOUR PACKAGE IS ON THE WAY",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / DELIVERY WILL BE RESCHEDULED.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE INFORMATION REQUESTED HAS BEEN OBTAINED AND THE HOLD HAS BEEN RESOLVED.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE PACKAGE WILL BE RETURNED TO THE SENDER.",UPS,Exception,Loss/Returns
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.",UPS,Exception,Customs/Tax Delays
